identifier,variable
<,operator
identifier,variable
identifier,variable
>,operator
int,keyword
identifier,variable
(,symbol
),symbol
{,symbol
int,keyword
identifier,variable
=,operator
number,constant
;,symbol
identifier,variable
(,symbol
identifier,variable
identifier,variable
),symbol
;,symbol
for,keyword
(,symbol
int,keyword
identifier,variable
=,operator
number,constant
;,symbol
identifier,variable
<,operator
number,constant
;,symbol
identifier,variable
+,operator
+,operator
),symbol
{,symbol
identifier,variable
(,symbol
identifier,variable
identifier,variable
),symbol
;,symbol
},symbol
return,keyword
number,constant
;,symbol
},symbol
int,keyword
identifier,variable
int,keyword
identifier,variable
number,constant
float,keyword
identifier,variable
number,constant
identifier,variable
identifier,variable
identifier,variable
identifier,variable
if,keyword
identifier,variable
identifier,variable
identifier,variable
identifier,variable
number,constant
return,keyword
number,constant
int,keyword
identifier,variable
int,keyword
identifier,variable
number,constant
float,keyword
identifier,variable
number,constant
identifier,variable
identifier,variable
identifier,variable
identifier,variable
if,keyword
identifier,variable
identifier,variable
identifier,variable
identifier,variable
number,constant
return,keyword
number,constant
identifier,variable
identifier,variable
identifier,variable
int,keyword
identifier,variable
char,keyword
identifier,variable
number,constant
identifier,variable
return,keyword
number,constant
int,keyword
identifier,variable
int,keyword
identifier,variable
number,constant
float,keyword
identifier,variable
number,constant
identifier,variable
identifier,variable
identifier,variable
identifier,variable
if,keyword
identifier,variable
identifier,variable
identifier,variable
identifier,variable
number,constant
return,keyword
number,constant
identifier,variable
identifier,variable
identifier,variable
int,keyword
identifier,variable
char,keyword
identifier,variable
number,constant
identifier,variable
return,keyword
number,constant
int,keyword
identifier,variable
int,keyword
identifier,variable
number,constant
float,keyword
identifier,variable
number,constant
identifier,variable
identifier,variable
identifier,variable
identifier,variable
if,keyword
identifier,variable
identifier,variable
identifier,variable
identifier,variable
number,constant
return,keyword
number,constant
identifier,variable
identifier,variable
identifier,variable
int,keyword
identifier,variable
char,keyword
identifier,variable
number,constant
identifier,variable
return,keyword
number,constant
int,keyword
identifier,variable
int,keyword
identifier,variable
number,constant
float,keyword
identifier,variable
number,constant
identifier,variable
identifier,variable
identifier,variable
identifier,variable
if,keyword
identifier,variable
identifier,variable
identifier,variable
identifier,variable
number,constant
return,keyword
number,constant
identifier,variable
identifier,variable
identifier,variable
int,keyword
identifier,variable
char,keyword
identifier,variable
number,constant
identifier,variable
return,keyword
number,constant
